"","1: upregulation, -1: downregulation","Symbol","ZoneII-ZoneI","ZoneI_Rep1","ZoneI_Rep2","ZoneI_Rep3","ZoneII_Rep1","ZoneII_Rep2","ZoneII_Rep3"
"136","AT1G65690",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3
"137","AT1G66160",NA,1,2.32192809488736,2.58496250072116,2.32192809488736,3.16992500144231,3,3
"138","AT1G66180",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.4594316186373,3.4594316186373,3.4594316186373
"139","AT1G66200",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.32192809488736,3.16992500144231,3.16992500144231
"140","AT1G66230",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3
"141","AT1G68560",NA,-1,3.58496250072116,3.58496250072116,3.58496250072116,2.8073549220576,2.8073549220576,3
"142","AT1G69210",NA,-1,3.16992500144231,3.16992500144231,3.16992500144231,2.58496250072116,2.58496250072116,2.32192809488736
"143","AT1G69240",NA,1,3,2.58496250072116,2.58496250072116,3.58496250072116,3.58496250072116,3.58496250072116
"144","AT1G69850",NA,1,2.58496250072116,2.58496250072116,2.8073549220576,3.16992500144231,3.32192809488736,3.16992500144231
"145","AT1G70460",NA,1,3,2.8073549220576,2.58496250072116,3.70043971814109,3.58496250072116,3.58496250072116
"146","AT1G70500",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3,3.16992500144231
"147","AT1G70670",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.32192809488736,3.16992500144231,3.32192809488736
"148","AT1G70990",NA,1,3,2.8073549220576,2.58496250072116,3.32192809488736,3.4594316186373,3.4594316186373
"149","AT1G71740",NA,1,2.8073549220576,3,2.8073549220576,3.70043971814109,3.70043971814109,3.70043971814109
"150","AT1G71930",NA,1,2.58496250072116,2.58496250072116,2.32192809488736,2.8073549220576,3.16992500144231,3
"151","AT1G72200",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.32192809488736,3.4594316186373,3.32192809488736
"152","AT1G72230",NA,1,3,3,2.8073549220576,3.58496250072116,3.58496250072116,3.58496250072116
"153","AT1G72250",NA,-1,3.16992500144231,3.4594316186373,3.32192809488736,2.8073549220576,2.58496250072116,2.58496250072116
"154","AT1G72430",NA,1,3.16992500144231,2.8073549220576,2.58496250072116,3.8073549220576,3.8073549220576,3.8073549220576
"155","AT1G73620",NA,-1,3.4594316186373,3.4594316186373,3.4594316186373,2.58496250072116,2.32192809488736,2.58496250072116
"156","AT1G73640",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736
"157","AT1G73860",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3.16992500144231
"158","AT1G74080",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3
"159","AT1G74500",NA,-1,3.70043971814109,3.70043971814109,3.8073549220576,2.58496250072116,2.8073549220576,3.32192809488736
"160","AT1G75750",NA,1,3.58496250072116,3.16992500144231,2.58496250072116,4,4,4
"161","AT1G76800",NA,1,2.58496250072116,2.58496250072116,2.8073549220576,3.4594316186373,3.32192809488736,3.32192809488736
"162","AT1G77580",NA,-1,3.4594316186373,3.4594316186373,3.4594316186373,2.8073549220576,2.8073549220576,2.8073549220576
"163","AT1G78000",NA,1,2.58496250072116,2.8073549220576,2.8073549220576,3.32192809488736,3.32192809488736,3.16992500144231
"164","AT1G78070",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.16992500144231,2.8073549220576
"165","AT1G78090",NA,1,3,2.8073549220576,2.58496250072116,3.58496250072116,3.58496250072116,3.4594316186373
"166","AT1G79180",NA,1,2.8073549220576,2.8073549220576,2.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736
"167","AT1G79620",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.32192809488736,3.4594316186373,3.32192809488736
"168","AT1G79860",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.32192809488736,3.32192809488736,3.4594316186373
"169","AT1G80050",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736
"170","AT1G80820",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3
"171","AT2G03200",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.16992500144231,3.32192809488736,3
"172","AT2G03720",NA,1,3,2.8073549220576,2.8073549220576,3.8073549220576,3.8073549220576,3.8073549220576
"173","AT2G03980",NA,1,2.58496250072116,2.58496250072116,2.8073549220576,3.32192809488736,3.16992500144231,3
"174","AT2G04025",NA,-1,3.32192809488736,3.4594316186373,3.4594316186373,2.58496250072116,2.58496250072116,2.58496250072116
"175","AT2G05160",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3,3.16992500144231
"176","AT2G06200",NA,-1,3.16992500144231,3.16992500144231,3.16992500144231,2.32192809488736,2.8073549220576,2.8073549220576
"177","AT2G15300",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.4594316186373,3.32192809488736,3.32192809488736
"178","AT2G15310",NA,1,3,2.58496250072116,2.58496250072116,3.16992500144231,3.32192809488736,3.32192809488736
"179","AT2G16230",NA,-1,3.16992500144231,3.32192809488736,3.32192809488736,2.58496250072116,2.58496250072116,2.58496250072116
"180","AT2G16720",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736
"181","AT2G16740",NA,1,2.58496250072116,2.8073549220576,2.8073549220576,3.32192809488736,3.4594316186373,3.32192809488736
