"User_ID sorted by SD","Ensembl_gene_id","symbol","sl_FLT_BA_Rep1","sl_FLT_BA_Rep2","sl_FLT_BA_Rep3","sl_FLT_BA_Rep4","sl_FLT_BA_Rep5","sl_FLT_BG_Rep1","sl_GC_BA_Rep1","sl_GC_BA_Rep2","sl_GC_BA_Rep3","sl_GC_BA_Rep4","sl_GC_BA_Rep5","sl_GC_BG_Rep1","UdCC_FLT_BB_Rep1","UdCC_FLT_BB_Rep2","UdCC_FLT_BB__Rep3","UdCC_FLT_BB_Rep4","UdCC_FLT_BG_Rep1","UdCC_FLT_BG_Rep2","UdCC_GC_BB_Rep1","UdCC_GC_BB_Rep2","UdCC_GC_BB_Rep3","UdCC_GC_BB_Rep4","UdCC_GC_BG_Rep1","UdCC_GC_BG_Rep2"
" AT3G01410","AT3G01410","",1,1,2,1,1,1,1,1,2,1,1,1,3,2,2,1,2,1,2,2,2,2,2,1
" AT3G14120","AT3G14120","",2,1,1,1,2,2,1,2,1,2,1,1,2,2,1,1,1,2,1,1,3,2,2,1
" AT3G15990","AT3G15990","",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,3,2,2
" AT3G23300","AT3G23300","",2,2,2,2,2,2,1,1,2,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1
" AT3G24240","AT3G24240","",1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,3
" AT3G25500","AT3G25500","",2,2,2,3,2,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1
" AT3G53100","AT3G53100","",2,3,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1
" AT3G53930","AT3G53930","",1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,3,1,2,2
" AT3G55420","AT3G55420","",2,2,2,1,2,2,1,1,2,1,2,1,2,1,1,1,1,2,3,1,1,1,2,1
" AT3G55510","AT3G55510","",2,1,1,2,2,2,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1
" AT3G55730","AT3G55730","",2,2,1,1,2,2,1,3,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1
" AT4G02920","AT4G02920","",2,2,2,2,2,2,3,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1
" AT4G14980","AT4G14980","",1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,3,2,2,2
" AT4G19030","AT4G19030","",1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,3,2,2,1,1,2,2,2,2
" AT4G21720","AT4G21720","",3,2,2,2,2,2,1,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1
" AT4G21780","AT4G21780","",1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,1
" AT4G25780","AT4G25780","",1,1,1,1,1,2,1,1,1,2,2,1,3,1,2,1,1,2,2,2,2,1,2,2
" AT4G31160","AT4G31160","",1,2,1,2,1,2,3,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2
" AT4G33120","AT4G33120","",2,2,2,1,2,1,1,2,2,3,2,2,1,2,1,1,1,1,1,1,1,1,1,2
" AT4G34760","AT4G34760","",2,2,1,3,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2
" AT4G34960","AT4G34960","",2,3,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1
" AT5G01840","AT5G01840","",1,1,2,1,1,1,1,1,1,1,1,1,3,2,2,2,1,2,2,2,2,2,2,1
" AT5G02160","AT5G02160","",2,2,2,1,2,2,2,1,2,1,1,1,1,1,3,1,1,1,2,1,2,1,2,1
" AT5G08320","AT5G08320","",2,2,2,2,2,2,1,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2
" AT5G09500","AT5G09500","",1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,3,2,1,2,2
" AT5G11920","AT5G11920","",1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,1,1,1,1,3,1
" AT5G16210","AT5G16210","",1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,3,2,2
" AT5G18120","AT5G18120","",1,2,2,2,2,2,1,2,2,2,2,3,1,1,1,1,1,2,1,1,1,1,1,1
" AT5G19030","AT5G19030","",2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,1,1,2,3,1,1,1,1
" AT5G26850","AT5G26850","",3,2,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1
" AT5G38530","AT5G38530","",2,2,1,2,2,2,1,1,2,1,2,2,1,1,2,1,1,3,2,1,1,1,1,1
" AT5G50420","AT5G50420","",2,2,2,2,2,3,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2
" AT5G56090","AT5G56090","",1,2,1,1,2,2,2,1,2,1,1,2,1,1,1,1,3,1,2,2,1,2,2,1
" AT5G57780","AT5G57780","",2,2,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,3,2,1,1,1,2,1
" AT5G61830","AT5G61830","",2,2,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,3,1,1,2,1,1
" AT5G62890","AT5G62890","",2,2,1,2,2,3,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1
" AT3G18130","AT3G18130","",3,4,4,4,4,3,3,4,3,4,3,4,4,5,3,4,3,3,4,5,5,4,4,5
" AT5G57300","AT5G57300","",5,4,4,5,5,5,3,4,4,4,4,4,3,4,3,4,4,4,3,3,3,3,4,3
" AT5G13530","AT5G13530","",5,5,5,5,5,6,5,6,5,6,6,5,5,4,5,4,4,4,5,4,5,3,5,5
" AT1G50300","AT1G50300","",7,6,6,7,7,7,7,7,6,6,7,7,6,6,6,6,5,6,5,4,5,6,6,6
" AT1G22740","AT1G22740","",2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,3,4,2,2,2,2,2,4
" AT1G47570","AT1G47570","",2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,3,2,4,3,3,3
" AT2G15490","AT2G15490","",2,2,2,2,2,2,4,2,2,2,2,2,3,2,2,2,2,3,2,3,3,4,2,3
" AT2G26910","AT2G26910","",2,2,2,2,2,2,2,2,3,2,2,2,4,3,3,2,2,2,4,2,3,3,2,2
" AT3G05170","AT3G05170","",2,2,2,2,3,2,3,2,2,2,2,2,2,3,3,2,2,2,4,2,3,2,2,4
" AT3G25870","AT3G25870","",2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,4,2,2,2,2,4,3
" AT4G16260","AT4G16260","",2,4,3,3,3,2,2,3,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2
" AT1G10320","AT1G10320","",2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
" AT1G18980","AT1G18980","",2,2,2,2,2,2,1,2,2,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1
" AT1G23330","AT1G23330","",1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,1,3,1,2,1,1,2,2,1
" AT1G28760","AT1G28760","",2,2,2,1,1,2,3,2,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2
" AT1G29980","AT1G29980","",3,2,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,2
" AT1G31160","AT1G31160","",2,2,1,2,2,1,2,1,1,2,2,2,1,1,2,1,1,2,1,3,1,1,1,2
" AT1G32310","AT1G32310","",2,2,2,2,3,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1
" AT1G47290","AT1G47290","",2,2,1,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2
" AT1G50510","AT1G50510","",1,2,2,2,2,2,1,2,1,2,1,1,1,2,2,2,1,1,1,2,3,1,1,1
" AT1G52880","AT1G52880","",2,2,1,1,2,1,3,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1
" AT1G64110","AT1G64110","",1,1,1,1,1,1,1,2,1,1,2,1,2,2,3,2,2,2,2,2,2,1,1,2
