Analysis.Id,0point09G_Rep1,0point09G_Rep2,0point09G_Rep3,0point18G_Rep1,0point18G_Rep2,0point18G_Rep3,0point36G_Rep1,0point36G_Rep2,0point36G_Rep3,0point57G_Rep1,0point57G_Rep2,0point57G_Rep3,0point57G_Rep4,1G_Rep1,1G_Rep2,1G_Rep3,uG_Rep1,uG_Rep2,uG_Rep3,uG_Rep4
AT1G47610,10.10774875,17.37536937,12.53585722,6.181019855,21.07931327,29.17522877,23.15588943,21.70945882,14.90466548,9.097329404,30.08032477,9.670368701,19.28357057,7.277446951,29.66433218,7.259083329,17.68990744,9.873379801,23.50517674,19.27614469
AT1G47640,376.9618983,395.3631883,379.6136774,348.1609832,407.1104247,439.8575043,381.578314,440.764807,401.9760849,365.9665797,364.8420852,357.6895244,409.5519205,464.9454793,368.1793874,346.3199267,392.8665187,359.0650481,352.4145334,467.5467627
AT1G47655,11.11334063,4.132706692,1.790202189,2.059675758,6.58808774,5.037850004,4.412686773,0,8.651149659,4.045015009,7.844041332,6.147838215,5.509821222,3.641094615,8.219811047,7.989360551,5.903589285,2.466672381,5.867941621,5.245475481
AT1G47670,206.2748449,200.3965354,240.9356388,186.5087063,284.5427289,285.3695914,300.914906,268.9674594,278.6956317,224.3225958,219.1300745,260.4250414,288.3254011,255.4869622,241.3851836,216.9514626,266.2767513,218.566892,211.7875822,315.9892514
AT1G47710,319.3477632,313.7567695,382.5756266,525.7284594,353.3497931,426.5315213,409.0723521,559.5277555,479.3967922,386.1507921,459.7573734,958.9119427,429.1162236,587.0250851,464.514718,504.3394092,403.1207021,422.8147464,387.6548252,439.3026326
AT1G47720,56.58823029,54.57577411,50.13322127,56.64885607,60.60727888,68.47057207,50.73592458,58.29541009,71.4906604,49.5422872,54.26344708,65.89716871,69.78984369,47.32112867,50.54474696,51.55570754,59.00632207,40.7118285,71.9257586,54.25438871
AT1G47740,571.0420157,701.6918187,669.026215,500.9748612,648.9923106,747.0097083,717.4352831,476.9865206,578.6598169,636.1207752,601.0817237,447.4306751,651.2982693,546.3077553,699.6704721,579.7739029,616.550827,607.1008604,548.1404687,662.1547045
AT1G47750,106.0870897,147.9670132,113.6820779,165.8095242,155.476891,167.2299544,161.0552474,189.7107017,162.7550626,164.8268454,158.8482266,173.9139168,123.9704425,167.4788978,149.8251298,145.979025,157.0160335,148.0108883,161.3925042,145.1586381
AT1G47830,264.6898853,234.7186743,222.8739725,300.7050485,289.8786105,314.3992266,262.5643684,251.9770233,279.2522965,281.1381018,281.069713,217.7923849,258.9624284,294.9437057,241.5700731,244.0490976,301.1108567,273.7860834,278.6961739,234.2572015
AT1G47870,125.1270231,137.1551758,121.665769,136.089323,117.4155521,127.1138106,115.0514945,114.6204743,102.9390578,106.0252452,131.9283286,123.1625839,123.1076035,114.6940531,108.7809781,138.455797,129.5006089,110.3470135,121.1794127,118.4732875
AT1G47900,243.9273661,199.7689697,239.2445057,206.1657287,190.8240934,232.5032635,223.8125228,193.1852344,237.9787879,181.6682621,187.9579322,269.6638336,275.9340972,226.3402719,199.8498224,250.7428729,228.6947469,234.1947771,167.7138869,270.7601419
AT1G47960,172.7283587,227.200435,245.2215312,369.6622286,226.6420247,359.9319618,273.6360072,556.5129514,372.400213,280.1686282,252.2764965,359.9401293,356.3083665,497.1457276,219.5717816,310.2039168,279.968813,249.0634248,287.354114,303.9554248
AT1G47970,702.4326231,531.9230431,603.4754869,601.5861719,538.8512108,649.0655558,522.7028713,660.6174326,623.9154081,652.0237465,730.3810919,777.8947496,514.2322596,605.9149442,637.6635972,540.1263238,562.6523576,505.9521375,734.3582167,467.7070647
